FSC-A	FSC-H	SSC-A	SSC-H	APC-A	APC-R700-A	BUV395-A	BUV737-A	BV421-A	BV480-A	BV605-A	BV650-A	BV711-A	BV786-A	FITC-A	NIR-A	PE-A	PE-CF594-A	PE-Cy5-A	PE-Cy7-A	Time	Sample
91262.7109375	75503	66409.203125	52571	680.4000244140625	3774.06005859375	106.5300064086914	6827.97021484375	672.21002197265625	20037.150390625	3591	8925.2099609375	29196.08984375	9820.439453125	109.80000305175781	3781.6201171875	273.8999938964844	147.9499969482422	23.649999618530273	831.60003662109375	4252770	AP0301
68437.734375	64028	58780.203125	53788	1542.2401123046875	8630.8203125	261.9700012207031	11461.0205078125	822.14996337890625	22865.220703125	4108.85986328125	8045.72998046875	30072.419921875	11848.41015625	133.20001220703125	9668.16015625	304.70001220703125	191.40000915527344	133.65000915527344	19724.650390625	4578930	AP0301
68554.2421875	61478	51410.40234375	46294	372.0600280761719	1075.6800537109375	179.55999755859375	1924.239990234375	577.71002197265625	16749.810546875	13553.189453125	20827.80078125	10309.3203125	8330.490234375	139.8000030517578	1917.5400390625	1056.550048828125	1822.1500244140625	865.70001220703125	1312.300048828125	3161469.75	AP0301
102434.25	93819	55722.00390625	51695	3736.26025390625	2926.260009765625	98.49000549316406	3001.60009765625	849.239990234375	11258.7294921875	2189.25	4659.47998046875	5001.56982421875	10502.7294921875	87	3943.6201171875	187.5500030517578	116.05000305175781	408.6499938964844	3208.150146484375	4887730	AP0301
68604.875	62393	50734.80078125	47673	237.0600128173828	1952.10009765625	161.47000122070312	3517.5	497.6999816894531	14185.7099609375	4570.64990234375	5821.830078125	3954.510009765625	5829.39013671875	88.80000305175781	2565.5400390625	3014	1390.4000244140625	422.95001220703125	1475.6500244140625	2778499.75	AP0301
77700.578125	69826	51501.00390625	47190	805.1400146484375	5605.2001953125	180.90000915527344	7568.990234375	752.219970703125	20291.0390625	9107.91015625	11317.3203125	18259.2890625	9162.08984375	370.8000183105469	4935.06005859375	34490.5	14237.8505859375	4055.150146484375	4918.64990234375	3831310.25	AP0301
95570.53125	83906	49449.6015625	44146	868.32000732421875	4765.5	162.13999938964844	6389.7900390625	668.42999267578125	11115.7197265625	10954.439453125	9904.2294921875	8806.1396484375	6199.830078125	546.60003662109375	4377.240234375	67155	27018.201171875	7551.5	9515	4051790	AP0301
111536.671875	98294	49478.40234375	45494	245.70001220703125	2028.2401123046875	75.70999908447266	2893.72998046875	708.75	13352.2197265625	7166.25	9817.919921875	12872.16015625	7464.23974609375	209.40000915527344	3723.840087890625	22875.05078125	9815.8505859375	2574.550048828125	24208.80078125	211670	AP0301
62454.2421875	51154	69967.203125	59314	1705.320068359375	17721.181640625	866.30999755859375	23751.5	1685.25	20783.0703125	19329.029296875	31384.080078125	16653.419921875	17029.529296875	138.60000610351562	12702.4208984375	1011.4500122070312	2359.5	1316.1500244140625	2712.60009765625	2064810	AP0301
69616.859375	62730	36412.80078125	32382	1299.780029296875	6944.9404296875	151.4199981689453	7810.1904296875	645.75	12315.240234375	2290.050048828125	6394.5	27035.189453125	10357.2001953125	67.20000457763672	5603.0400390625	574.20001220703125	273.8999938964844	157.85000610351562	1978.9000244140625	2588080	AP0301
57891.44140625	53393	47735.40234375	44709	432.5400085449219	1951.02001953125	76.3800048828125	3027.06005859375	734.58001708984375	20887.01953125	4171.85986328125	5368.85986328125	9797.759765625	15254.8203125	123.60000610351563	4924.26025390625	567.60003662109375	330.5500183105469	188.65000915527344	17911.849609375	4580680	AP0301
59143.76953125	52930	66391.8046875	56546	1393.7401123046875	6011.8203125	205.69000244140625	8969.2900390625	872.54998779296875	26645.849609375	5228.3701171875	9993.0595703125	33300.5390625	13271.580078125	160.20001220703125	6692.76025390625	1329.3499755859375	837.6500244140625	363.5500183105469	16095.2001953125	2414620	AP0301
78669.265625	71346	55710.6015625	49106	5355.72021484375	26394.12109375	864.97003173828125	15084.380859375	1771.5599365234375	24672.689453125	6235.73974609375	7820.81982421875	10086.9296875	10050.3896484375	196.8000030517578	16289.640625	10575.400390625	4327.9501953125	1415.1500244140625	2998.050048828125	1780790.125	AP0301
99969.8515625	91512	57147.6015625	51612	1173.9600830078125	7349.9404296875	134.6699981689453	10362.890625	1312.2900390625	19118.609375	11968.740234375	26636.400390625	60750.8984375	17893.890625	259.8000183105469	6517.26025390625	1047.2000732421875	1434.9500732421875	862.95001220703125	1838.6500244140625	2716190	AP0301
69489.984375	64472	58074.6015625	54024	561.05999755859375	3945.240234375	157.4499969482422	7346.55029296875	678.510009765625	20119.6796875	3800.159912109375	7874.3701171875	25551.5390625	10182.0595703125	110.4000015258789	4227.1201171875	914.6500244140625	433.4000244140625	151.25	1700.60009765625	1539270.125	AP0301
60596.79296875	55628	61816.80078125	56008	229.50001525878906	1435.860107421875	56.28000259399414	2756.380126953125	558.80999755859375	17982.720703125	3632.580078125	4942.35009765625	11108.7900390625	11172.419921875	141.60000610351562	3738.420166015625	539.54998779296875	306.3500061035156	170.5	25567.30078125	1769390.125	AP0301
90642.953125	81943	49157.40234375	45027	4185	17202.78125	1121.580078125	8665.1103515625	1102.5	11676.419921875	2628.989990234375	3894.030029296875	6313.22998046875	9724.0498046875	87	11724.48046875	220.5500030517578	642.95001220703125	378.3999938964844	1839.75	1109830	AP0301
98195.359375	84375	45265.203125	40947	1556.820068359375	9138.9599609375	292.7900085449219	9043.66015625	1289.6099853515625	16955.8203125	3820.949951171875	4115.7900390625	5634.7197265625	11404.259765625	119.4000015258789	8025.48046875	7383.75	3307.150146484375	1002.6500244140625	1751.2000732421875	4456110.5	AP0301
59253.5703125	51363	67644	57079	909.36004638671875	7276.50048828125	341.70001220703125	10937.080078125	1738.1700439453125	36137.4296875	13039.1103515625	17197.109375	8929.6201171875	10337.0400390625	135.60000610351562	6548.580078125	480.70001220703125	842.04998779296875	550.54998779296875	1996.5	5358060.5	AP0301
82736.7421875	66066	60468.6015625	50230	5102.4599609375	16540.201171875	406.69000244140625	8746.1806640625	1887.47998046875	10425.240234375	15663.0595703125	26869.5	13172.669921875	9089.009765625	73.20000457763672	10151.4599609375	1570.800048828125	2151.60009765625	2436.5	2383.699951171875	4027600	AP0301
46702.2109375	41135	51386.40234375	44251	677.70001220703125	2806.920166015625	53.60000228881836	3360.050048828125	517.22998046875	19939.5	3871.349853515625	6580.35009765625	14623.5595703125	7756.56005859375	105.00000762939453	2327.940185546875	327.8000183105469	163.90000915527344	112.20000457763672	836	2149390	AP0301
103651.203125	87720	39138.6015625	35736	636.1199951171875	2810.16015625	123.95000457763672	3410.969970703125	469.9800109863281	23824.708984375	4724.3701171875	5929.56005859375	10370.4296875	6987.9599609375	101.4000015258789	2824.2001953125	431.75	230.45001220703125	144.10000610351562	1816.6500244140625	3384980.25	AP0301
84330.671875	73435	59295.6015625	51631	180.90000915527344	1862.4600830078125	111.88999938964844	2495.080078125	551.25	14479.919921875	7489.43994140625	12311.4599609375	6415.919921875	10167.5703125	84	4430.16015625	1516.3499755859375	1419	507.6500244140625	24151.05078125	3987150	AP0301
77626.1640625	72571	53206.203125	48079	248.94000244140625	1272.780029296875	84.42000579833984	2254.550048828125	324.45001220703125	11245.5	2300.760009765625	3588.47998046875	6221.8798828125	5973.66015625	70.80000305175781	1654.02001953125	258.5	178.75	48.400001525878906	1305.7000732421875	1012000	AP0301
71025.3515625	65279	52395.00390625	48623	510.84002685546875	2407.320068359375	190.95001220703125	5640.06005859375	1057.77001953125	21662.55078125	14752.080078125	22434.30078125	9505.439453125	10509.66015625	83.4000015258789	3578.0400390625	1065.3499755859375	1521.8499755859375	811.25	1365.0999755859375	2365600	AP0301
53277.40234375	48028	36455.40234375	33244	251.10000610351563	2501.820068359375	98.49000549316406	4093.030029296875	482.5799865722656	12718.439453125	2475.27001953125	5548.41015625	16481.4296875	8394.75	82.20000457763672	3935.520263671875	347.0500183105469	227.70001220703125	132.5500030517578	21799.80078125	840700	AP0301
79941.71875	71446	67735.203125	60194	480.6000061035156	5193.72021484375	294.1300048828125	8354.23046875	823.40997314453125	25224.5703125	4726.259765625	6706.35009765625	7178.2197265625	25218.26953125	173.40000915527344	19681.380859375	2186.800048828125	1133	479.0500183105469	156949.109375	1663130.125	AP0301
127601.0234375	112479	34219.203125	32271	540	3176.820068359375	182.91000366210937	3763.39013671875	869.39996337890625	23469.390625	7830.27001953125	9638.3701171875	4750.830078125	7208.4599609375	125.4000015258789	3359.340087890625	8496.9501953125	3883.550048828125	1147.8499755859375	1142.3499755859375	2677620	AP0301
98880.390625	85994	37644	31114	822.96002197265625	5228.2802734375	113.9000015258789	8601.4599609375	837.27001953125	21383.458984375	4085.550048828125	10902.150390625	45572.94140625	11437.650390625	92.4000015258789	4208.76025390625	238.70001220703125	133.65000915527344	74.80000305175781	806.29998779296875	466400	AP0301
90287.9296875	79937	69351.6015625	61733	123.12000274658203	1184.760009765625	51.59000015258789	2141.989990234375	832.22998046875	8825.0400390625	3206.699951171875	5394.06005859375	7213.5	15058.259765625	96.600006103515625	5244.47998046875	666.60003662109375	519.75	314.0500183105469	26975.849609375	307590	AP0301
