name	FSC-A	FSC-H	SSC-A	SSC-H	APC-A	APC-R700-A	BUV395-A	BUV737-A	BV421-A	BV480-A	BV605-A	BV650-A	BV711-A	BV786-A	FITC-A	NIR-A	PE-A	PE-CF594-A	PE-Cy5-A	PE-Cy7-A	Time
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	81895.8046875	73255	24287.759765625	22135	465.3600158691406	1237.5999755859375	22.110000610351563	1924.239990234375	656.5	18505.5	7846.7998046875	11758.5	9928.75	10936.25	86.01000213623047	2980.880126953125	281.1199951171875	587.44000244140625	577.91998291015625	1114.9599609375	760380
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	90330.6015625	78826	27445.12109375	26074	208.32000732421875	973.280029296875	26.130001068115234	2026.75	267.1499938964844	11126.69921875	5640.0498046875	9726.599609375	12985.69921875	3807.0498046875	245.8300018310547	1161.4400634765625	388.0799865722656	636.72003173828125	321.44000244140625	328.7200012207031	423960.03125
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	118155.0078125	106959	36714.6796875	32731	819.280029296875	1467.199951171875	11.390000343322754	3186.52001953125	547.949951171875	19836.69921875	13291.849609375	21039.849609375	19178.8984375	8399.94921875	447.7400207519531	2788.800048828125	887.5999755859375	1570.800048828125	737.52001953125	868.55999755859375	1169610
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	130314.0078125	119287	21018.16015625	19635	54.31999969482422	21.84000015258789	19.43000030517578	592.95001220703125	330.8499755859375	5594.5498046875	3979.2998046875	6201	2523.949951171875	6323.849609375	64.660003662109375	1536.6400146484375	197.1199951171875	367.9200134277344	207.1999969482422	552.15997314453125	433390
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	46643.40234375	42631	37963.3515625	34835	193.75999450683594	1480.0799560546875	52.93000030517578	2109.16015625	592.14996337890625	15299.69921875	2874.949951171875	4888	4771.64990234375	13637.6494140625	132.37001037597656	10729.599609375	1156.4000244140625	572.8800048828125	231.83999633789063	89024.8828125	939250
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	103324.8046875	92867	39947.0703125	36227	535.3599853515625	2436	34.17000198364258	4372.419921875	798.8499755859375	25866.75	14911.6494140625	26525.19921875	27963.6484375	13313.2998046875	605.73004150390625	3158.39990234375	757.67999267578125	1365.280029296875	708.4000244140625	1355.199951171875	984790.0625
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	117504.0078125	103992	30184.021484375	27004	403.760009765625	2199.679931640625	26.130001068115234	4944.60009765625	647.39996337890625	18310.5	11543.349609375	20427.548828125	30058.599609375	9443.19921875	578.8900146484375	2648.239990234375	507.9200134277344	1078.56005859375	581.84002685546875	705.03997802734375	310760
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	131043.6015625	116000	24757.4609375	23572	81.19999694824219	327.0400085449219	2.680000066757202	765.80999755859375	456.29998779296875	20339.798828125	8598.849609375	12646.3994140625	4000.099853515625	5689.44970703125	103.70000457763672	1050.56005859375	355.6000061035156	777.84002685546875	356.1600036621094	476.55999755859375	495070.03125
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	121343.40625	108467	29412.37109375	25543	520.239990234375	653.52001953125	18.760000228881836	1011.030029296875	432.8999938964844	18006.298828125	7183.14990234375	9704.5	4530.5	8401.8994140625	72.59000396728516	1918	659.67999267578125	591.91998291015625	401.5199890136719	713.44000244140625	996600
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	72718.8046875	63277	28363.78125	23481	397.0400085449219	2002	20.100000381469727	3856.52001953125	664.949951171875	14523.599609375	8593	16346.849609375	22430.849609375	11467.94921875	367.83001708984375	2649.360107421875	491.67999267578125	839.44000244140625	377.44000244140625	965.44000244140625	842220.0625
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	111438.0078125	97645	30253.560546875	25693	81.76000213623047	133.27999877929687	30.150001525878906	623.77001953125	282.0999755859375	17260.75	4618.89990234375	6686.5498046875	2408.89990234375	5344.94970703125	116.51000213623047	1226.4000244140625	185.9199981689453	350.55999755859375	129.36000061035156	656.8800048828125	500900
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	152076	135010	26311.130859375	22994	849.52001953125	2580.47998046875	13.40000057220459	4078.2900390625	566.79998779296875	26405.599609375	11174.7998046875	18826.599609375	25041.8984375	8962.19921875	517.8900146484375	3230.639892578125	532	887.5999755859375	549.3599853515625	839.44000244140625	260790
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	90897	78388	27509.78125	23808	740.32000732421875	2214.800048828125	24.1200008392334	4164.72021484375	575.25	22922.25	10852.3994140625	18555.548828125	24567.3984375	7668.69970703125	308.6600036621094	2480.239990234375	486.08001708984375	923.44000244140625	583.52001953125	545.44000244140625	394390
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	96894	87222	22906.720703125	19746	142.8000030517578	801.3599853515625	33.5	2049.530029296875	375.6999816894531	14860.2998046875	8433.75	13189.7998046875	12154.349609375	5889.64990234375	294.6300048828125	1308.1600341796875	314.7200012207031	752.6400146484375	460.8800048828125	600.32000732421875	850880
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	137611.203125	117670	24740.380859375	23394	677.5999755859375	934.08001708984375	40.20000076293945	1097.4600830078125	436.1499938964844	22921.599609375	9469.19921875	13982.1494140625	6589.0498046875	7768.14990234375	225.70001220703125	2019.9200439453125	409.3600158691406	894.32000732421875	524.15997314453125	758.79998779296875	910010
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	170594.40625	152811	29071.990234375	27023	244.16000366210937	619.3599853515625	23.450000762939453	1179.8699951171875	603.8499755859375	17037.798828125	9163.69921875	13983.44921875	6494.14990234375	7256.599609375	183	1828.9599609375	617.1199951171875	892.08001708984375	525.280029296875	712.32000732421875	982580
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	102424.203125	75433	32798.48046875	23913	1147.4400634765625	2450.56005859375	18.09000015258789	5044.43017578125	682.5	18697.8984375	11638.25	21262.1484375	30314.048828125	9664.19921875	453.2300109863281	3295.0400390625	911.67999267578125	1207.9200439453125	750.96002197265625	815.91998291015625	773910
