FSC-A	FSC-H	SSC-A	SSC-H	CEF Multimer	HLA-DR	CD69	CD38	PD1	CD8	CD27	CD4	CD45RA	CD3	CCR7	Live-Dead	SARS-CoV-2 Multimer	CD39	CD137	CD57	Time	Sample
6.917808688677901	6.848303596586116	6.453753454580285	6.375436494663283	0.9146345642953109	3.4314142996731514	0.594209692253163	3.843511859882957	2.0060794899782004	5.527543078613655	3.8212029729064185	4.294495736561373	5.007250120869883	4.968352191549648	0.7043096010276687	4.021708047767805	1.8636317538074296	1.3594703744283996	0.7032497314626105	5.277906032990054	1728700	AP0301
6.669971840375627	6.628942189320634	6.575657868615629	6.493836810792437	2.343115343441756	4.153614680259114	0.6092669110623397	4.426698250355335	2.302941492161337	5.434147974289574	3.7334299081882674	4.46312635827817	5.6657187139126775	5.153264870761871	0.7451134656567457	4.298905710283875	1.6501982107405697	1.2902944865880086	0.7520711647570032	5.1335521799373955	3789640	AP0301
7.173779293326942	7.008662707965609	6.579553152721773	6.502752313030254	3.017460774758673	4.9296163628878515	1.459972897887128	4.6612782011706715	2.528015380694383	5.743017299888243	4.635646024087457	4.687015672270294	4.468436727170949	5.101602049239812	1.4436354751788103	5.015356388119189	5.871379932881986	5.003883949798268	3.717749246186793	6.343820270614697	1772980.125	AP0301
6.956125230539286	6.835257424201177	6.316749125030355	6.215544988990655	3.1246860692797047	4.838912777081485	1.2857833573546738	4.729025780274139	2.4989550829212823	4.855818219254608	3.7456005192134447	3.985655902420549	4.137773696971527	4.551285683502362	0.9743477594514055	4.420651393162912	5.02953911516273	4.181295823519243	2.9164433034627497	2.8586143524232934	5680480	AP0301
6.370679686687327	6.235276936893431	6.129525520352025	6.0082293748551585	2.253669316156231	4.705799348071877	2.9871370239953885	5.117171934907049	2.605578882775526	4.718103516162222	4.751379430913085	5.267484648070299	4.702604257001295	5.169017484930312	0.6095466859870486	4.622548611024908	2.717080462567821	2.924327592227013	2.252741033175716	3.2877302616784907	3518980.25	AP0301
6.5644752703657625	6.47331678287208	5.8752981599433305	5.768164083974552	2.8345035439801425	4.401773607345658	1.219721852508751	4.055873769666381	2.4512281259758733	4.6753389405645125	3.887715782613308	3.9914120796280548	4.020912100201943	4.9295209142844865	1.3308484958425817	4.41457248540942	4.846430136678824	4.002453565805022	2.799929168495416	2.9673725407747935	3979340	AP0301
7.554918130186703	7.3867107742565885	5.981137776039746	5.907039060808551	3.0458717944140004	4.771982665294862	1.4929438447227048	4.644329549959353	1.8006516933280678	4.564669082268616	3.1702733257503657	3.41440626831833	4.002826043180286	4.217593166074371	0.3261850057360686	4.292627960047563	3.515232410934171	2.714182036578066	1.9519857042324862	2.3262683983407357	2187960	AP0301
6.696300871886642	6.5060055021313214	6.647710861837522	6.504489994542507	3.2111786928182475	4.705734239248589	0.8880517053725968	4.888317540757623	2.5078289967659178	5.5223197643789925	3.897645928117189	4.95819482934955	6.444494905591382	5.161533464564372	0.45964322701050586	4.5108308860578825	0.9650650679024244	0.7148705935980884	0.679760485167312	3.0834288123390183	2357070	AP0301
6.7779182360947665	6.647932135507785	6.778258228783302	6.639249896802833	2.0536450298361553	3.8120989048904104	1.0783291158716628	4.3333167635083045	2.491385234337798	5.930067342340311	4.234281675795665	4.689025894385131	5.1899231713968375	5.379363603330522	0.738903048147451	4.37531150645701	1.546224943716039	1.2827662589531827	0.7828763881905679	5.257376688734394	2596340	AP0301
7.200898207592154	7.113956771623677	6.133680409674731	6.1104665865475765	1.4854172272883512	3.1428394104177437	0.2389204567939815	3.5673358669675475	1.4582085360628814	4.354532692659906	2.8595513282763805	3.5822573922926164	4.902187228284362	4.167481816525749	0.1711630282024662	3.5156959173299214	1.2996368073354325	1.178193658524818	0.7235321758383245	4.817854633128697	3370440	AP0301
6.638394626762729	6.6000900128670565	6.576248716178211	6.481048452854473	2.8598939677113626	4.479409035715091	0.8722461864889837	4.411312071666076	2.307917649692328	5.445558708615847	4.640116907904798	5.086819320035649	4.986184335467124	4.7830918672371965	0.8528046172289324	4.208501318515911	4.58920505415299	3.814396615279805	2.639395682424086	2.8140482581323703	4761460.5	AP0301
6.5790092609482835	6.441926804302965	6.279739996079119	6.197479642825521	2.4836590480004777	4.067348892886489	0.6755080799420199	4.26742570763687	1.992675118271228	5.339501514640262	3.7578207572959834	4.395652537160297	5.612710706759929	4.952572943143382	0.7543836045813069	4.448737332153115	2.921575133089346	2.221781618670273	1.3180985758008261	6.173186100151757	2133640	AP0301
7.131468474320576	6.9226711343181	6.377423508525213	6.235381415652809	1.4807555035658995	3.087036183560171	0.6463745111651079	3.398672591865012	1.9892968747418873	4.513990377159587	3.075825047836065	3.7388351377829676	4.092961720960702	5.041981888422464	0.5377111558048812	4.246102737745684	2.3754303885459884	1.752443812350936	1.186413808982845	6.168758425693677	2487600	AP0301
6.410550750795743	6.359876699827006	6.252539416030398	6.196285331038956	1.8054648024988218	3.360580791833881	0.6682707673362365	3.8624563042927123	1.4964748023188383	5.154477999384578	3.5058823008358377	4.091138062070344	4.938709291740767	4.406775304011355	0.49902844445640293	3.5573721829660863	1.305206358832649	0.8664461445211629	0.5350964028313154	3.1498911294976213	1656060	AP0301
